Date,Time,GHI,Clearsky GHI (W/m2),Ambient Temperature (degC),Modul_ Temperature,Simulated Module Wise Power (W),Actual Module wise Power (W),Actual String wise Power (kW),Actual Array wise Power (kW),Actual_Plant_Power
1/1/2013,0:30,0,0,12.56727377,12.56727377,0,0,0,0,0
1/1/2013,1:30,0,0,12.02455649,12.02455649,0,0,0,0,0
1/1/2013,2:30,0,0,11.53399002,11.53399002,0,0,0,0,0
1/1/2013,3:30,0,0,11.09582458,11.09582458,0,0,0,0,0
1/1/2013,4:30,0,0,10.69632964,10.69632964,0,0,0,0,0
1/1/2013,5:30,0,0,12.70486493,12.70486493,0,0,0,0,0
1/1/2013,6:30,0,0,12.60633004,12.60633004,0,0,0,0,0
1/1/2013,7:30,26,32,14.84548594,15.65798594,6.360180351,6.105720044,0.151727143,17.84311203,268.3604049
1/1/2013,8:30,220,220,17.73868283,24.61368283,51.7875399,48.16192576,1.196823855,140.7464854,2184.385453
1/1/2013,9:30,419,419,21.53184675,34.62559675,94.31086104,90.53744251,2.24759201,256.2254892,3812.635279
1/1/2013,10:30,582,582,24.69525505,42.88275505,126.0499516,122.2670063,3.047505131,365.7006157,5734.185655
1/1/2013,11:30,688,688,26.44472689,47.94472689,145.4203698,133.7849193,3.331244492,383.7593654,5894.543853
1/1/2013,12:30,726,726,27.37425285,50.06175285,151.8692315,141.2363252,3.523846313,397.4898641,6169.042691
1/1/2013,13:30,692,692,27.67602764,49.30102764,145.2991155,138.0320371,3.443899325,400.8698815,6157.36138
1/1/2013,14:30,591,591,27.35982037,45.82857037,126.2059628,113.5833912,2.819707686,318.063027,4783.667925
1/1/2013,15:30,434,434,26.34876277,39.91126277,95.32433496,89.60328339,2.228881674,256.7671689,4108.274702
1/1/2013,16:30,240,240,24.57241436,32.07241436,54.65169068,49.18555216,1.222260971,142.271177,2208.048668
1/1/2013,17:30,37,50,22.1489677,23.3052177,8.759588467,8.759423942,0.217233714,25.02532383,392.3970776
1/1/2013,18:30,0,0,21.61589013,21.61589013,0,0,0,0,0
1/1/2013,19:30,0,0,20.81327835,20.81327835,0,0,0,0,0
1/1/2013,20:30,0,0,20.04740794,20.04740794,0,0,0,0,0
1/1/2013,21:30,0,0,19.29553151,19.29553151,0,0,0,0,0
1/1/2013,22:30,0,0,18.58057804,18.58057804,0,0,0,0,0
1/1/2013,23:30,0,0,17.91030845,17.91030845,0,0,0,0,0
1/2/2013,0:30,0,0,17.26923624,17.26923624,0,0,0,0,0
1/2/2013,1:30,0,0,16.70306386,16.70306386,0,0,0,0,0
1/2/2013,2:30,0,0,16.26093851,16.26093851,0,0,0,0,0
1/2/2013,3:30,0,0,15.93679813,15.93679813,0,0,0,0,0
1/2/2013,4:30,0,0,15.73745412,15.73745412,0,0,0,0,0
1/2/2013,5:30,0,0,15.63856274,15.63856274,0,0,0,0,0
1/2/2013,6:30,0,0,15.59870656,15.59870656,0,0,0,0,0
1/2/2013,7:30,26,29,16.92325187,17.73575187,6.304537509,5.736918621,0.142562428,16.7653415,260.1981001
1/2/2013,8:30,209,209,19.67186108,26.20311108,48.85600502,48.36576266,1.203098346,135.7094934,2106.211338
1/2/2013,9:30,403,403,23.60904332,36.20279332,90.05480995,81.94668212,2.042521052,235.2984252,3501.240567
